clique_id,lemma,upos,affix,stem,synonyms,hypernyms
110,citizenship,NN,NA,citizenship,citizenship,legal status|demeanor|demeanour|behavior|behaviour|conduct|deportment
110,thousand,NNS,s,thousand,1000|chiliad|G|grand|K|M|one thousand|thou|thousand|yard,large integer
110,people,NNS,NA,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
110,anxious,JJ,NA,anxiou,anxious|anxious(p)|dying(p)|nervous|queasy|uneasy|unquiet,
110,future,NN,NA,futur,future|future tense|futurity|hereafter|time to come,time|tense|commodity|trade good|good
110,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
110,s,VBZ,NA,NA,,NA
110,rule,NN,NA,rule,convention|dominion|formula|linguistic rule|normal|pattern|prescript|principle|regulation|rule|ruler,concept|conception|construct|practice|direction|instruction|generalization|generalisation|generality|duration|continuance|dominance|ascendance|ascendence|ascendancy|ascendency|control|law|law of nature|procedure|process|measuring stick|measure|measuring rod
110,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
110,prompt,VBN,ed,prompt,actuate|cue|incite|inspire|instigate|motivate|move|prompt|propel|remind,cause|do|make|induce|stimulate|have|get|inform
110,apply,VB,NA,appli,apply|employ|enforce|give|go for|hold|implement|lend oneself|practice|put on|use|utilise|utilize,refer|pertain|relate|concern|come to|bear on|touch|touch on|have to do with|request|ask for|bespeak|call for|quest|cover|distribute|administer|mete out|deal|parcel out|lot|dispense|shell out|deal out|dish out|allot|dole out|compel|oblige|obligate|denote|give|dedicate|consecrate|commit|devote
110,citizenship,NN,NA,citizenship,citizenship,legal status|demeanor|demeanour|behavior|behaviour|conduct|deportment
110,elsewhere,RB,NA,elsewher,elsewhere,NA
110,notably,RB,NA,notabl,notably|remarkably|unco|unusually,NA
110,canada,NNP,NA,canada,Canada,
110,australium,NNP,s,australium,,NA
111,protest,NNS,s,protest,dissent|objection|protest|protestation,objection|resistance
111,1989,CD,NA,1989,NA,NA
111,beijing,NNP,NA,beij,Beijing|capital of Red China|Peiping|Peking,
111,s,VBZ,NA,NA,,NA
111,tiananman,NNP,s,tiananman,,NA
111,square,NNP,NA,squar,foursquare|lame|public square|second power|square|square toes,rectangle|regular polygon|number|tract|piece of land|piece of ground|parcel of land|parcel|shape|form|simpleton|simple|conservative|conservativist|artifact|artefact|hand tool
111,spark,VBD,ed,spark,activate|actuate|set off|spark|spark off|sparkle|touch off|trigger|trigger off|trip,initiate|pioneer|emit|give out|give off
111,sympathy,NN,NA,sympathi,fellow feeling|sympathy|understanding,inclination|disposition|tendency|feeling|affinity|kinship
111,march,NNS,s,march,border district|borderland|Mar|march|March|MArch|marching|marching music|marchland|Master of Architecture,Gregorian calendar month|walk|walking|progress|progression|procession|advance|advancement|forward motion|onward motion|district|territory|territorial dominion|dominion|music genre|musical genre|genre|musical style|master's degree
111,hong,NNP,NA,hong,,NA
111,kong,NNP,NA,kong,,NA
111,further,RBR,NA,further,farther|further,NA
111,increase,VBN,ed,increas,increase,change magnitude|change|alter|modify
111,tension,NN,NA,tension,latent hostility|stress|tautness|tenseness|tension|tensity,strain|mental strain|nervous strain|condition|status|balance|stress|hostility|enmity|antagonism|stretching
111,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
112,company,NNS,s,compani,caller|companionship|company|fellowship|party|ship's company|society|troupe,institution|establishment|army unit|friendship|friendly relationship|organization|organisation|visitor|visitant|social gathering|social affair|set|circle|band|lot|complement|full complement|unit|social unit
112,move,VBD,ed,move,act|actuate|affect|be active|displace|go|impress|incite|locomote|make a motion|motivate|move|proceed|prompt|propel|run|strike|travel,act|move|change|alter|vary|cause|do|make|affect|impress|strike|sell|live|propose|suggest|advise
112,headquarters,NN,NA,headquart,central office|headquarters|home base|home office|HQ|main office|military headquarters,office|business office|military installation|military unit|military force|military group|force
112,hong,NNP,NA,hong,,NA
112,kong,NNP,NA,kong,,NA
113,ironically,RB,NA,iron,ironically,NA
113,handover,NN,NA,handov,handover,relinquishment|relinquishing
113,approach,VBD,ed,approach,approach|border on|come near|come on|draw close|draw near|go about|go up|near|set about,come|come up|approximate|come close|act|move|address|accost|come up to
113,british,JJ,NA,british,British,
113,grant,VBD,ed,grant,accord|allot|allow|award|cede|concede|deed over|give|grant|yield,give|agree|hold|concur|concord|gift|present
113,hong,NNP,NA,hong,,NA
113,kong,NNP,NA,kong,,NA
113,chinese,JJ,NA,chines,Chinese|Formosan|Taiwanese,
113,more,RBR,NA,more,more|to a greater extent,
113,political,JJ,NA,polit,political,
113,autonomy,NN,NA,autonomi,autonomy|liberty|self-direction|self-reliance|self-sufficiency,independence|independency|independence|independency
113,have,VBD,ed,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
113,do,VBN,en,do,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
113,colony,NN,NA,coloni,colony|Colony|dependency|settlement,body|biological group|geographical area|geographic area|geographical region|geographic region|place|property|animal group
113,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
113,found,VBN,ed,found,base|constitute|establish|found|ground|institute|launch|plant|set up,open|open up|initiate|pioneer
113,include,VBG,ing,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
113,such,JJ,NA,such,such(a),
113,democratic,JJ,NA,democrat,democratic|Democratic|popular,
113,reform,NNS,s,reform,reform,improvement|campaign|cause|crusade|drive|movement|effort|self-improvement|self-reformation
113,election,NNS,s,elect,election,vote|choice|selection|option|pick|status|position|predestination|foreordination|preordination|predetermination
113,legislative,NNP,NA,legisl,,NA
113,council,NNP,NA,council,council,administrative unit|administrative body|assembly|meeting|group meeting
114,handover,NN,NA,handov,handover,relinquishment|relinquishing
114,july,NNP,NA,juli,July,Gregorian calendar month
114,1997,CD,NA,1997,NA,NA
114,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
114,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
114,generally,RB,NA,gener,broadly|broadly speaking|by and large|generally|in general|in the main|loosely|more often than not|mostly,NA
